z,ID,Collection,Book Title,Etext link,Category,Unnamed: 6,Duration,standard duration,standard duration.1,Audio link,Recorder,Date Uploaded,Month Uploaded,pecha.tools,Music,Book URL,Remarks
1.0,STT_AB00001,གཏམ་རྒྱུད་ཀྱི་ལམ་ནས་མེས་པོའ་ིཞབས་རྗེས་འཚོལ་བ།,དུང་དཀར་བློ་བཟང་འཕྲིན་ལས།,https://docs.google.com/document/d/1l6Uc-79yWektkRQBPbo8pTKVowXWmefKdNLQRI67Sh8/edit,text,1-2,6.54,00:06:54,00:06:54,https://youtu.be/q8L_yxgljM0,AB2,,,True,True,"https://bo.wikipedia.org/wiki/%E0%BD%91%E0%BD%B4%E0%BD%84%E0%BC%8B%E0%BD%91%E0%BD%80%E0%BD%A2%E0%BC%8B%E0%BD%96%E0%BE%B3%E0%BD%BC%E0%BC%8B%E0%BD%96%E0%BD%9F%E0%BD%84%E0%BC%8B%E0%BD%A0%E0%BD%95%E0%BE%B2%E0%BD%B2%E0%BD%93%E0%BC%8B%E0%BD%A3%E0%BD%A6%E0%BC%8B,https://www.pentibet.org/2016/07/%E0%BD%91%E0%BD%B4%E0%BD%84%E0%BC%8B%E0%BD%91%E0%BD%80%E0%BD%A2%E0%BC%8B%E0%BD%96%E0%BE%B3%E0%BD%BC%E0%BC%8B%E0%BD%96%E0%BD%9F%E0%BD%84%E0%BC%8B%E0%BD%A0%E0%BD%95%E0%BE%B2%E0%BD%B2%E0%BD%93%E0%BC%8B/,",
2.0,STT_AB00002,,དུང་དཀར་བློ་བཟང་འཕྲིན་ལས།,https://docs.google.com/document/d/1lPlbmQe3YD1yGq6o2okwG4JIJINk4urMZ3vdsazZrFo/edit,text,,4.07,00:04:07,00:04:07,https://youtu.be/6qRmvjA3G7g,AB2,,,True,True,,
3.0,STT_AB00003,དབུ་མ་རྒྱན།,དབུ་མ་རྒྱན།,https://docs.google.com/document/d/1hMtgMfMoYKzWWDg1WL9t2gya2M_VROTPIhQ--3EM_Ws/edit,text,1,10.34,00:10:34,00:10:34,https://youtu.be/9dDzzB3XMAs,AB1,,,True,True,"http://ftp.budaedu.org/ebooks/pdf/TI803.pdf, https://books.google.com/books/about/%E0%BD%91%E0%BD%96%E0%BD%B4_%E0%BD%98_%E0%BD%A2%E0%BE%92%E0%BE%B1%E0%BD%93_%E0%BD%82%E0%BE%B1%E0%BD%B2_%E0%BD%9A.html?id=a9c7zQEACAAJ",
4.0,STT_AB00004,སྡོམ་གསུམ་རྣམ་ངེས།,སྡོམ་གསུམ་རྣམ་ངེས། ལེའུ་དང་པོ། སྡོམ་གསུམ་སྤྱིར་བཤད།,https://docs.google.com/document/d/1BoKDO49HCctme2EBgzNsh8NmzDqvv-zBGoDV_uEiJVQ/edit,text,1-5,2.28,00:02:28,00:02:28,https://youtu.be/zwLDsH9B9x4,AB1,,,True,True,,
5.0,STT_AB00005,,སྡོམ་གསུམ་རྣམ་ངེས། ལེའུ་གཉིས་པ། འདུལ་བ་སོ་ཐར་གྱི་ལེའུ།,https://docs.google.com/document/d/1yskbqI9sJoSzda4ngUux5HkQMFqKloYgqLxYIB0Nt5Y/edit,text,,11.05,00:11:05,00:11:05,https://youtu.be/X_Td_EQdkI4,AB1,,,True,True,,
6.0,STT_AB00006,,སྡོམ་གསུམ་རྣམ་ངེས། ལེའུ་གསུམ་པ། བྱང་སེམས་ཀྱི་ལེའུ།,https://docs.google.com/document/d/1jfaeaCSbVjJlwX2QW6YvlFZBtu39hQnEyWbH71u69Pk/edit,text,,5.42,00:05:42,00:05:42,https://youtu.be/swii_PmEx1w,AB1,,,True,True,,
7.0,STT_AB00007,,སྡོམ་གསུམ་རྣམ་ངེས། ལེའུ་བཞི་པ།,https://docs.google.com/document/d/1aA7u34x80ANN63bIuBayQhTYysf-LAcD5p2jPcdlBeY/edit,text,,7.43,00:07:43,00:07:43,https://youtu.be/zUVUYjKDRD4,AB1,,,True,True,,
8.0,STT_AB00008,,སྡོམ་གསུམ་རྣམ་ངེས། ལེའུ་ལྔ་པ།,https://docs.google.com/document/d/1c5TOqvbccNSAjbOK9hR4XpKdJHAMdvxutLF3x-L7BGI/edit,text,,2.48,00:02:48,00:02:48,https://youtu.be/wyMOmI80xL8,AB1,,,True,True,,
9.0,STT_AB00009,ཁ་ཆེ་ཕ་ལུ།,ཁ་ཆེ་ཕ་ལུ། འཇིག་རྟེན་བསླབ་བྱ་རྩི་ལུགས།,https://docs.google.com/document/d/117rPFoTeFhyF9Am1VUIER1Qmw00KpSRPXBltVAWpKw8/edit,text,,4.21,00:04:21,00:04:21,https://youtu.be/rMOxCGiNciM,AB1,,,True,True,"https://bo.wikipedia.org/wiki/%E0%BD%81%E0%BC%8B%E0%BD%86%E0%BD%BA%E0%BC%8B%E0%BD%95%E0%BC%8B%E0%BD%A3%E0%BD%B4%E0%BC%8D,https://ti.zangdiyg.com/Article/detail/id/8622.html,https://sherig.org/%E0%BD%81%E0%BC%8B%E0%BD%86%E0%BD%BA%E0%BC%8B%E0%BD%95%E0%BC%8B%E0%BD%A3%E0%BD%B4%E0%BD%A0%E0%BD%B2%E0%BC%8B%E0%BD%A0%E0%BD%87%E0%BD%B2%E0%BD%82%E0%BC%8B%E0%BD%A2%E0%BE%9F%E0%BD%BA%E0%BD%93%E0%BC%8B/,https://www.tibetcm.com/classics/advice/2014-12-10/3007.html",
10.0,STT_AB00010,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༢,https://docs.google.com/document/d/1DxMZ7U1ggJcGz8g1rRlr67hvWPI8LkvdBzlJCQH5GNE/edit,text,,4.46,00:04:46,00:04:46,https://youtu.be/UniMf3yYF8A,AB1,,,True,True,,
11.0,STT_AB00011,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༣,https://docs.google.com/document/d/19-QPcLGzDkV8a1M2JGCJSprYZOmeeXz5Ga0mR1oc2JQ/edit,text,,5.31,00:05:31,00:05:31,https://youtu.be/OCHyUucddqk,AB1,,,True,True,,
12.0,STT_AB00012,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༤,https://docs.google.com/document/d/1v2_c1bDiylJ5iOQBpUmyiU9RXYxbhWmletQ02nX1-vA/edit,text,,1.55,00:01:55,00:01:55,https://youtu.be/Mb-lNNrmcAE,AB1,,,True,True,,
13.0,STT_AB00013,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༥,https://docs.google.com/document/d/1h4VUBP5rHThVJom6UTf5-XwICrtWi01TeYKOKJaBhrQ/edit,text,,2.03,00:02:03,00:02:03,https://youtu.be/b3jw_6sYwoI,AB1,,,True,True,,
14.0,STT_AB00014,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༦,https://docs.google.com/document/d/14LLcolMh2Tb6OyHV_CkKZoi72yGvIjJedR2TUKAUM7w/edit,text,,2.15,00:02:15,00:02:15,https://youtu.be/OXeSVeluHhE,AB1,,,True,True,,
15.0,STT_AB00015,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༧,https://docs.google.com/document/d/13yA4ZO15MaiGIpSJxkdY1-WWLCc0Lg9sI6ibMzxX_F8/edit,text,,2.23,00:02:23,00:02:23,https://youtu.be/0DXeYVqVYG0,AB1,,,True,True,,
16.0,STT_AB00016,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༨,https://docs.google.com/document/d/1BI_pehgUbLpYPKrpK7VhQ8FQiIqGevqtV6gyDG1XQ-Y/edit,text,,2.06,00:02:06,00:02:06,https://youtu.be/keIZ_PTX4PM,AB1,,,True,True,,
17.0,STT_AB00017,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༩,https://docs.google.com/document/d/1A6mCqlfE25BhDcxR5wSagIUFgCoaTxjaZ24kbUB_h1o/edit,text,,2.56,00:02:56,00:02:56,https://youtu.be/bxB7iltoWww,AB1,,,True,True,,
18.0,STT_AB00018,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༡༠,https://docs.google.com/document/d/1SIBYmN3B399V8d6nr05Gap3nWJeXPKWcmNMkSHoREi0/edit,text,,2.59,00:02:59,00:02:59,https://youtu.be/yGGN_5EQERA,AB1,,,True,True,,
19.0,STT_AB00019,,ཁ་ཆེ་ཕ་ལུ། བསླབ་བྱ་༡༡,https://docs.google.com/document/d/1BXMwetWfhb2xV8Rf3kCuo26yAoiqhV0ak2MLobJZKIQ/edit,text,,5.44,00:05:44,00:05:44,https://youtu.be/OyTlwXJ_TPY,AB1,,,True,True,,
20.0,STT_AB00020,གཏམ་པདྨའི་ཚལ།,གཏམ་པདྨའི་ཚལ།,https://docs.google.com/document/d/1ph6Al7UFwuF6j4AP95P62b1EfRgrimm3/edit#heading=h.gjdgxs,text,,76.36,01:16:36,01:16:36,https://youtu.be/WXj6tElRPvE,AB1,,,True,False,,
