Sr.no,ID,Name of News,YouTube link,Duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Repor Status,Correction,standard duration
1.0,STT_NW0001,༄༅། །འགྲོ་མགོན་བཀའ་བརྒྱུད་པའི་བླ་ཆེན་ཁག་ནས་འཚམས་འདྲིའི་བཀའ་སློབ།,https://youtu.be/UAoD_swP9uA?si=CbQI-_Q97V6-gZ8r,0:58:10,2020.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:58:09
2.0,STT_NW0002,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/t14klcff2fk?si=CtA0tOS5dO0Mb2Rj,0:18:55,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:18:54
3.0,STT_NW0003,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/SFHDCY7OVjE?si=He2zRSPrBCg_k_cP,0:12:02,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:11:01
4.0,STT_NW0004,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/EwbbVBNK_sI?si=p-JVnD9eedXvRHkR,0:18:45,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:18:45
5.0,STT_NW0005,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/C32XKz7Csp4?si=xNNaCVNRMVeX1dLP,0:09:50,2022.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:09:51
6.0,STT_NW0006,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/1jKoT6LStFI?si=Pe3l9AquYqD4cwsW,0:10:09,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:10:09
7.0,STT_NW0007,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/cYfWYTIef5E?si=1dxqn9eIIAy2pFDO,0:08:01,2019.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:08:00
8.0,STT_NW0008,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/v-auoE6VgYU?si=eMQTKMHiuWQ17voZ,0:06:20,2024.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:19
9.0,STT_NW0009,༄༅། ། བོད་ཟླ་ ༨ ཚེས་ ༦ ནས་ ༡༣ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/FY9RNtC1tlo?si=xH1HRkwOAwbTg0Ih,0:04:18,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:17
10.0,STT_NW0010,༄༅། ། བོད་ཟླ་ ༧ ཚེས་ ༨ ནས་ ༡༤ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/NCycal3edkA?si=4Y0qGXEXwIIoiHuK,0:04:09,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:08
11.0,STT_NW0011,༄༅། ། བོད་ཟླ་ ༦ ཚེས་ ༢༤ ནས་ ༣༠ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/B8eBsRZz0_M?si=AxAKN62q6VDK5tG2,0:03:39,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:03:38
12.0,STT_NW0012,།ཡུ་རོབ་རྒྱལ་ཁབ་ཁག་དང་རྒྱ་གར་ཧི་མ་ཅལ་མངའ་སྡེའི་ས་ཁུལ་གྱི་གཞུང་འབྲེལ་འཚམས་གཟིགས་སྐོར་བཅར་འདྲི།,https://youtu.be/RB0XGxEqGgE?si=ykjaxfvCHQOsua2A,0:49:34,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:49:34
13.0,STT_NW0013,༄༅། །བོད་ཀྱི་བསྟན་པ་ཕྱི་དར། ལེའུ། དང་པོ།,https://youtu.be/OPv77dq0fUc?si=VKyZG20JwO3dc-5W,0:10:22,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:10:22
14.0,STT_NW0014,༄༅། །བོད་ཀྱི་བསྟན་པ་ཕྱི་དར། ལེའུ། དང་པོ།,https://youtu.be/1W46B3LzPgk?si=bJfvsumBLWBvWVM2,0:19:40,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:19:40
15.0,STT_NW0015,༄༅། །བོད་སིལ་བུར་འཐོར་བའི་རྗེས་སུ་རྒྱལ་ཕྲན་ཁག་བྱུང་རབས,https://youtu.be/diF8uXif9y0?si=aLYuqErTde0GBFq2,0:10:58,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:10:58
16.0,STT_NW0016,༄༅། །བོད་སིལ་བུར་འཐོར་བའི་རྗེས་སུ་རྒྱལ་ཕྲན་ཁག་བྱུང་རབས། ལེའུ། གཉིས་པ།,https://youtu.be/dWHe8NEDbrI?si=AbIj_VFN4g6FL_lw,0:11:30,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:11:29
17.0,STT_NW0017,གཉའ་ཁྲི་བཙན་པོ་བོད་ཀྱི་རྒྱལ་པོར་འཁོད་ཚུལ།,https://youtu.be/YO75zI5TvD4?si=TCfK7VK281iN52Fp,0:10:39,2021.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:10:38
18.0,STT_NW0018,བོད་ཀྱི་གཏམ་དཔེའི་རིན་ཐང་དང་རྒྱུན་སྤྱོད་སྐོར།,https://youtu.be/8YOJ4BhB1AQ?si=vUe87SzyxYbtKedn,0:18:01,2021.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:18:01
19.0,STT_NW0019,ལོ་རྒྱུས་མེ་ལོང་། སྔོན་གླེང་།,https://youtu.be/QP5nvNeZP1c?si=MB-B0ztWangtwuIX,0:12:14,2021.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:12:13
20.0,STT_NW0020,ཆོས་རྒྱལ་སྲོང་བཙན་སྒམ་པོའི་སྐབས་བོད་ཁམས་གཅིག་གྱུར་ཆགས་ཚུལ།,https://youtu.be/06fmxiQDH5U?si=pEo2luApeTDZgXQj,0:16:00,2021.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:16:05
21.0,STT_NW0021,༄༅། །ཆོས་རྒྱལ་ཁྲི་སྲོང་སྐབས་བོད་ཀྱི་ཆབ་སྲིད་མངའ་ཐང་།,https://youtu.be/pjEJozQ09VY?si=irZWzBjHYCJEynit,0:13:03,2021.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:13:03
22.0,STT_NW0022,༄༅། །ལོ་རྒྱུས་མེ་ལོང་། ཕྱི་ལོ་ ༡༩༡༣ ལོར་བོད་སོག་དབར་བཞག་པའི་མཛའ་གྲོགས་ཀྱི་ཆིངས་ཡིག་སྐོར།,https://youtu.be/31zdfp9D4E8?si=yvMURwFbqjOFp6AM,0:26:12,2022.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:26:11
23.0,STT_NW0023,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ཕྱི་ཟླ་ ༡༢ པའི་གསར་འགྱུར་ཕྱོགས་བསྡུས་ཀྱི་ལས་རིམ། དབུས་སྐད།,https://youtu.be/5RX1HX-7X9M?si=xNrdb65XxIei5-4d,0:15:57,2024.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:15:56
24.0,STT_NW0024,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/g93luPufP1g?si=q64o_Z58uorbKti1,0:06:38,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:38
25.0,STT_NW0025,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/6ilfDx0W7is?si=nIDOyqsKjh60_Jih,0:08:28,2019.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:08:27
26.0,STT_NW0026,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/QHrF3uhLPss?si=3BeeXgYLRIOLaYIg,0:13:24,2018.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:13:23
27.0,STT_NW0027,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/zYI58yy2fm8?si=KXzO3NkPcH4hplG7,0:11:32,2018.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:11:31
28.0,STT_NW0028,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར།,https://youtu.be/d5NAwqwDjIU?si=vz_33-wIGAs3Q7jU,0:09:11,2020.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:09:10
29.0,STT_NW0029,༢༠༡༦ ཟླ་ ༡༢ ཚེས་ ༢༨ བོད་ཀྱི་བརྙན་འཕྲིན་གསར་འགྱུར།,https://youtu.be/IydRabYv02Y?si=SXZMePuYDvV6hMmh,0:19:20,2016.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:19:19
30.0,STT_NW0030,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ༢༠༢༣།༡༡།༡༥,https://youtu.be/5tipPgnYm6Y?si=L2yGyb8qxSffTvZO,0:08:43,2023.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:08:42
31.0,STT_NW0031,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར,https://youtu.be/bYcAKqBlknY?si=owUgAnLAhqZzezG2,0:06:30,2022.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:06:19
32.0,STT_NW0032,10 Sep 2015 - TibetTV News,https://youtu.be/F9EX_pZYFn8?si=RZWc8p1mb5ejo0F7,0:17:39,2015.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:17:38
33.0,STT_NW0033,18 Aug 2014 - TibetTV News,https://youtu.be/08yGTAwo8SQ?si=Txb4uBz1-KumKNvn,0:18:35,2014.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:18:34
34.0,STT_NW0034,20 Aug 2015 - TibetTV News,https://youtu.be/ZnXY__txmc0?si=Mb__f17eJ0P7upTb,0:18:29,2015.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:18:29
35.0,STT_NW0035,23 Aug 2012 - TibetonlineTV News,https://youtu.be/f4zUtvcU2bY?si=9X4U61iOrjfZt7S9,0:05:39,2012.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:38
36.0,STT_NW0036,14 May 2012 - Tibetonline.tv News,https://youtu.be/mvDLMiXil54?si=j-dEh0nLev2vK3OU,0:07:47,2012.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:07:46
37.0,STT_NW0037,29 May 2012 - Tibetonline.tv News,https://youtu.be/P1BiO7UTIv8?si=vIx4ve4puRhQ8BUT,0:10:41,2012.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:10:40
38.0,STT_NW0038,20 08 2012 - TibetonlineTV News,https://youtu.be/GVS8DMHzADU?si=LGhOry5VT3rKLh-W,0:03:41,2012.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:03:41
39.0,STT_NW0039,10 Sept 2012 - TibetonlineTV News,https://youtu.be/pzRVheUCzAk?si=bV5cJcUsmn5OceF1,0:04:46,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:04:46
40.0,STT_NW0040,8 March 2013 - TibetonlineTV News,https://youtu.be/Jql_S0X6Oa0?si=1ANjGlu1GV1e2Vsk,0:05:14,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:14
41.0,STT_NW0041,1 May 2013 - TibetonlineTV News,https://youtu.be/w4yLKxdun1s?si=FxFaxbmNj3MfxR-_,0:05:53,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:05:52
42.0,STT_NW0042,15 Nov 2013 - TibetonlineTV News,https://youtu.be/L4pN_zXjreo?si=tIjvHP_1-TuELCD0,1:08:55,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,01:08:55
43.0,STT_NW0043,02 Dec 2013 - TibetonlineTV News,https://youtu.be/ojyfJKcsfWo?si=trInhfhnYE7Biju8,0:16:19,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:16:18
44.0,STT_NW0044,18 Mar 2013 - TibetonlineTV News,https://youtu.be/tl9mJk_-mro?si=oMqT_N6Ku461AUBL,0:08:21,2013.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:08:21
45.0,STT_NW0045,19 Aug 2014 - TibetonlineTV News,https://youtu.be/G6jIJnCywEg?si=uYdBsmFv-0ofnb9l,0:17:17,2014.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:17:16
46.0,STT_NW0046,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ༢༠༢༣།༢།༧,https://youtu.be/TJdDHW_eLJs?si=7MWl1geLiCm7iZxK,0:07:29,2017.0,TibetTV,Good,True,India,གྲ་སྒྲིག,རྟོག་ཞིབ་ཚར་བ།,00:07:28
