ID,split duration,dept
STT_AB00001,00:05:14.681,STT_AB
STT_AB00002,00:03:01.387,STT_AB
STT_AB00003,00:09:27.663,STT_AB
STT_AB00004,00:02:15.507,STT_AB
STT_AB00005,00:10:31.105,STT_AB
STT_AB00006,00:05:03.562,STT_AB
STT_AB00007,00:06:30.316,STT_AB
STT_AB00008,00:02:18.373,STT_AB
STT_AB00009,00:03:40.055,STT_AB
STT_AB00010,00:03:55.928,STT_AB
STT_AB00011,00:04:25.481,STT_AB
STT_AB00012,00:01:26.501,STT_AB
STT_AB00013,00:01:33.675,STT_AB
STT_AB00014,00:01:48.320,STT_AB
STT_AB00015,00:01:53.909,STT_AB
STT_AB00016,00:01:41.606,STT_AB
STT_AB00017,00:02:22.916,STT_AB
STT_AB00018,00:01:29.638,STT_AB
STT_AB00019,00:04:27.694,STT_AB
STT_AB00020,01:07:12.501,STT_AB
STT_AB00021,00:04:56.935,STT_AB
STT_AB00022,00:02:43.066,STT_AB
STT_AB00023,00:02:42.206,STT_AB
STT_AB00024,00:03:51.254,STT_AB
STT_AB00025,00:04:16.131,STT_AB
STT_AB00026,00:03:26.621,STT_AB
STT_AB00027,00:02:37.461,STT_AB
STT_AB00028,00:04:01.499,STT_AB
STT_AB00029,00:03:31.206,STT_AB
STT_AB00030,00:04:11.892,STT_AB
STT_AB00031,00:03:11.663,STT_AB
STT_AB00032,00:03:05.693,STT_AB
STT_AB00033,00:03:12.140,STT_AB
STT_AB00034,00:03:31.274,STT_AB
STT_AB00035,00:03:27.831,STT_AB
STT_AB00036,00:02:53.813,STT_AB
STT_AB00037,00:03:48.320,STT_AB
STT_AB00038,00:05:16.808,STT_AB
STT_AB00039,00:04:12.822,STT_AB
STT_AB00040,00:04:35.147,STT_AB
STT_AB00041,00:03:56.991,STT_AB
STT_AB00042,00:03:51.678,STT_AB
STT_AB00043,00:03:32.493,STT_AB
STT_AB00044,00:51:45.033,STT_AB
STT_AB00045,00:26:39.904,STT_AB
STT_AB00046,00:39:32.118,STT_AB
STT_AB00047,00:36:53.984,STT_AB
STT_AB00048,00:32:23.390,STT_AB
STT_AB00049,00:33:21.546,STT_AB
STT_AB00050,00:44:01.012,STT_AB
STT_AB00051,00:46:15.677,STT_AB
STT_AB00052,00:50:19.010,STT_AB
STT_AB00053,00:42:37.977,STT_AB
STT_AB00054,00:04:15.184,STT_AB
STT_AB00055,00:02:28.601,STT_AB
STT_AB00056,00:03:41.163,STT_AB
STT_AB00057,00:02:40.075,STT_AB
STT_AB00058,00:01:41.065,STT_AB
STT_AB00059,00:06:23.229,STT_AB
STT_AB00060,00:08:03.474,STT_AB
STT_AB00061,00:04:56.710,STT_AB
STT_AB00062,00:02:00.385,STT_AB
STT_AB00063,00:04:12.878,STT_AB
STT_AB00064,00:03:33.318,STT_AB
STT_AB00065,00:03:26.853,STT_AB
STT_AB00066,00:04:43.010,STT_AB
STT_AB00067,00:03:04.118,STT_AB
STT_AB00068,00:04:55.243,STT_AB
STT_AB00069,00:04:05.804,STT_AB
STT_AB00070,00:03:45.181,STT_AB
STT_AB00071,00:04:58.216,STT_AB
STT_AB00072,00:03:00.413,STT_AB
STT_AB00073,00:04:10.713,STT_AB
STT_AB00074,00:04:31.920,STT_AB
STT_AB00075,00:05:53.875,STT_AB
STT_AB00076,00:03:15.562,STT_AB
STT_AB00077,00:04:54.787,STT_AB
STT_AB00078,00:04:12.487,STT_AB
STT_AB00079,00:02:42.998,STT_AB
STT_AB00080,00:03:37.841,STT_AB
STT_AB00081,00:03:34.040,STT_AB
STT_AB00082,00:04:33.290,STT_AB
STT_AB00083,00:03:34.822,STT_AB
STT_AB00084,00:03:04.240,STT_AB
STT_AB00085,00:03:36.875,STT_AB
STT_AB00086,00:05:07.211,STT_AB
STT_AB00087,00:03:36.370,STT_AB
STT_AB00088,00:04:33.370,STT_AB
STT_AB00089,00:04:45.563,STT_AB
STT_AB00090,00:03:05.302,STT_AB
STT_AB00091,00:04:57.847,STT_AB
STT_AB00092,00:04:07.941,STT_AB
STT_AB00093,00:04:27.879,STT_AB
STT_AB00094,00:03:58.510,STT_AB
STT_AB00095,00:05:25.148,STT_AB
STT_AB00096,00:04:56.791,STT_AB
STT_AB00097,00:02:42.878,STT_AB
STT_AB00098,00:04:24.448,STT_AB
STT_AB00099,00:04:03.122,STT_AB
STT_AB00100,00:04:18.478,STT_AB
STT_AB00101,00:03:28.559,STT_AB
STT_AB00102,00:04:35.147,STT_AB
STT_AB00103,00:04:10.528,STT_AB
STT_AB00104,00:04:21.896,STT_AB
STT_AB00105,00:03:26.470,STT_AB
STT_AB00106,00:06:55.795,STT_AB
STT_AB00107,00:04:40.148,STT_AB
STT_AB00108,00:03:51.865,STT_AB
STT_AB00109,00:04:15.369,STT_AB
STT_AB00110,00:04:26.779,STT_AB
STT_AB00111,00:04:13.345,STT_AB
STT_AB00112,00:04:36.697,STT_AB
STT_AB00113,00:03:58.542,STT_AB
STT_AB00114,00:04:25.394,STT_AB
STT_AB00115,00:04:16.412,STT_AB
STT_AB00116,00:04:13.446,STT_AB
STT_AB00117,00:07:00.069,STT_AB
STT_AB00118,00:06:01.363,STT_AB
STT_AB00119,00:04:51.048,STT_AB
STT_AB00120,00:05:23.337,STT_AB
STT_AB00121,00:03:10.856,STT_AB
STT_AB00122,00:05:36.664,STT_AB
STT_AB00123,00:02:57.981,STT_AB
STT_AB00124,00:02:45.327,STT_AB
STT_AB00125,00:04:13.009,STT_AB
STT_AB00126,00:04:30.489,STT_AB
STT_AB00127,00:18:45.025,STT_AB
STT_AB00128,00:13:08.491,STT_AB
STT_AB00129,00:12:38.316,STT_AB
STT_AB00130,00:10:40.427,STT_AB
STT_AB00131,00:11:13.272,STT_AB
STT_AB00132,00:09:32.954,STT_AB
STT_AB00133,00:06:29.194,STT_AB
STT_AB00134,00:04:37.983,STT_AB
STT_AB00135,00:04:40.465,STT_AB
STT_AB00136,00:04:40.988,STT_AB
STT_AB00137,00:04:25.816,STT_AB
STT_AB00138,00:03:31.610,STT_AB
STT_AB00139,00:05:46.987,STT_AB
STT_AB00140,00:04:27.990,STT_AB
STT_AB00141,00:04:37.553,STT_AB
STT_AB00142,00:04:44.144,STT_AB
STT_AB00143,00:05:49.722,STT_AB
STT_AB00144,00:04:56.361,STT_AB
STT_AB00145,00:04:41.633,STT_AB
STT_AB00146,00:04:51.925,STT_AB
STT_AB00147,00:04:55.597,STT_AB
STT_AB00148,00:33:54.732,STT_AB
STT_AB00149,00:25:31.726,STT_AB
STT_AB00150,00:21:13.574,STT_AB
STT_AB00151,00:19:39.040,STT_AB
STT_AB00152,00:33:56.370,STT_AB
STT_AB00153,00:35:57.939,STT_AB
STT_AB00154,00:24:51.258,STT_AB
STT_AB00155,00:32:47.707,STT_AB
STT_AB00156,00:17:18.572,STT_AB
STT_AB00157,00:51:46.973,STT_AB
STT_AB00158,00:14:24.355,STT_AB
STT_AB00159,00:13:43.042,STT_AB
STT_AB00160,00:30:18.817,STT_AB
STT_AB00161,00:05:03.350,STT_AB
STT_AB00162,00:07:47.891,STT_AB
STT_AB00163,00:04:26.762,STT_AB
STT_AB00164,00:06:24.040,STT_AB
STT_AB00165,00:13:47.949,STT_AB
STT_AB00166,00:16:23.582,STT_AB
STT_AB00167,00:09:28.324,STT_AB
STT_AB00168,00:24:33.749,STT_AB
STT_AB00169,00:22:41.542,STT_AB
STT_AB00170,00:08:44.456,STT_AB
STT_AB00171,00:38:43.914,STT_AB
STT_AB00172,02:09:20.114,STT_AB
STT_AB00173,03:12:09.901,STT_AB
STT_AB00174,02:41:57.725,STT_AB
STT_AB00176,00:07:05.274,STT_AB
STT_AB00177,00:12:48.418,STT_AB
STT_AB00178,00:06:37.595,STT_AB
STT_AB00179,00:08:02.513,STT_AB
STT_AB00180,00:12:59.251,STT_AB
STT_AB00181,00:17:01.179,STT_AB
STT_AB00182,00:08:02.791,STT_AB
STT_AB00183,00:06:11.075,STT_AB
STT_AB00185,00:03:23.073,STT_AB
STT_AB00186,00:13:19.407,STT_AB
STT_AB00187,00:10:28.092,STT_AB
STT_AB00189,00:08:55.122,STT_AB
STT_AB00190,00:03:16.277,STT_AB
STT_AB00191,00:06:14.437,STT_AB
STT_AB00192,00:03:54.835,STT_AB
STT_AB00193,00:13:46.090,STT_AB
STT_AB00194,00:15:25.672,STT_AB
STT_AB00195,00:16:58.526,STT_AB
STT_AB00196,00:07:58.448,STT_AB
STT_AB00197,00:12:34.397,STT_AB
STT_AB00198,00:08:34.335,STT_AB
STT_AB00199,00:10:20.343,STT_AB
STT_AB00200,00:12:20.842,STT_AB
STT_AB00201,00:34:03.679,STT_AB
STT_AB00202,00:15:38.886,STT_AB
STT_AB00203,00:16:18.627,STT_AB
STT_AB00204,00:09:29.865,STT_AB
STT_AB00205,00:09:11.265,STT_AB
STT_AB00206,00:16:05.285,STT_AB
STT_AB00207,00:12:07.980,STT_AB
STT_AB00208,00:10:14.172,STT_AB
STT_AB00209,00:11:57.310,STT_AB
STT_AB00210,00:10:43.198,STT_AB
STT_AB00211,00:12:48.433,STT_AB
STT_AB00212,00:13:53.144,STT_AB
STT_AB00213,00:16:23.919,STT_AB
STT_AB00214,00:15:24.266,STT_AB
STT_AB00215,00:18:52.768,STT_AB
STT_AB00216,00:14:38.887,STT_AB
STT_AB00217,00:16:34.919,STT_AB
STT_AB00218,00:22:44.894,STT_AB
STT_AB00219,00:16:35.445,STT_AB
STT_AB00220,00:25:07.916,STT_AB
