Audio File (Original),split duration,dept
STT_CS-2010_2010-M_M-D_D-G02_G03-2_2-L_L-01,00:13:08.320,STT_CS
STT_CS-2013-P-D-B08-5-R-01,00:15:05.973,STT_CS
STT_CS-2013_2015-P_P-D_D-B01_B03-4_4-R_R-01,00:18:27.001,STT_CS
STT_CS-D-1976-M-D-G01-6-L-01,00:14:45.618,STT_CS
STT_CS-D-1999-M-D-G05-6-L-01,00:01:35.903,STT_CS
STT_CS-D-2001-M-D-G05-4-L-01,00:01:36.946,STT_CS
STT_CS-D-2008-M-D-G03-3-L-01,00:01:51.781,STT_CS
STT_CS-D-2008-M-D-G05-4-L-01,00:06:51.168,STT_CS
STT_CS-D-2008-P-D-B01-0-R-01,00:14:37.037,STT_CS
STT_CS-D-2009-M-D-B05-6-R-01,00:04:52.805,STT_CS
STT_CS-D-2009-M-D-G03-3-L-01,00:18:23.300,STT_CS
STT_CS-D-2009-M-D-G05-6-L-01,00:02:23.303,STT_CS
STT_CS-D-2009-P-D-G02-5-N-01,00:18:29.743,STT_CS
STT_CS-D-2009-P-D-G06-2-K-01,00:00:42.712,STT_CS
STT_CS-D-2010-M-D-B04-6-R-01,00:03:40.691,STT_CS
STT_CS-D-2010-M-D-B06-3-R-01,00:18:24.909,STT_CS
STT_CS-D-2010-M-D-B06-6-R-01,00:20:28.654,STT_CS
STT_CS-D-2010-M-D-B06-6-R-02,00:04:25.150,STT_CS
STT_CS-D-2010-M-D-B07-4-R-01,00:17:51.983,STT_CS
STT_CS-D-2010-M-D-B08-6-R-01a,00:18:10.447,STT_CS
STT_CS-D-2010-M-D-B08-6-R-01b,00:00:15.079,STT_CS
STT_CS-D-2010-M-D-B08-6-R-02,00:16:02.112,STT_CS
STT_CS-D-2010-M-D-G02-2-L-01,00:06:23.916,STT_CS
STT_CS-D-2010-M-D-G02-2-L-02,00:06:23.916,STT_CS
STT_CS-D-2010-M-D-G03-2-L-01,00:03:19.556,STT_CS
STT_CS-D-2010-P-D-B03-5-R-02,00:13:16.916,STT_CS
STT_CS-D-2010-P-D-B03-6-R-01,00:02:56.622,STT_CS
STT_CS-D-2010-P-D-B03-6-R-02,00:12:27.874,STT_CS
STT_CS-D-2010-P-D-B04-5-R-01a,00:07:08.646,STT_CS
STT_CS-D-2010-P-D-B04-5-R-01b,00:02:20.496,STT_CS
STT_CS-D-2010-P-D-B05-5-R-01-a,00:00:35.893,STT_CS
STT_CS-D-2010-P-D-B05-5-R-01b,00:01:01.274,STT_CS
