ID,split duration,dept
STT_HS0001,00:28:33.061,STT_HS
STT_HS0002,00:45:26.462,STT_HS
STT_HS0003,00:30:28.020,STT_HS
STT_HS0004,00:31:10.216,STT_HS
STT_HS0005,00:47:53.354,STT_HS
STT_HS0006,00:18:12.687,STT_HS
STT_HS0007,00:48:20.473,STT_HS
STT_HS0008,00:28:42.337,STT_HS
STT_HS0009,00:26:20.490,STT_HS
STT_HS0010,00:32:47.980,STT_HS
STT_HS0011,00:41:27.706,STT_HS
STT_HS0012,00:42:48.196,STT_HS
STT_HS0013,00:22:34.586,STT_HS
STT_HS0014,00:36:17.748,STT_HS
STT_HS0015,00:28:12.237,STT_HS
STT_HS0016,00:20:03.164,STT_HS
STT_HS0017,00:44:54.845,STT_HS
STT_HS0018,00:42:16.991,STT_HS
STT_HS0019,00:36:22.836,STT_HS
STT_HS0020,00:35:05.141,STT_HS
STT_HS0021,00:46:50.261,STT_HS
STT_HS0022,00:38:28.221,STT_HS
STT_HS0023,00:29:11.648,STT_HS
STT_HS0024,00:30:23.521,STT_HS
STT_HS0025,00:41:30.186,STT_HS
STT_HS0026,00:34:23.137,STT_HS
STT_HS0027,00:35:00.391,STT_HS
STT_HS0028,00:30:37.447,STT_HS
STT_HS0029,00:27:08.773,STT_HS
STT_HS0030,00:26:47.025,STT_HS
STT_HS0031,00:41:08.422,STT_HS
STT_HS0032,00:36:44.378,STT_HS
STT_HS0033,01:12:02.028,STT_HS
STT_HS0034,00:50:18.457,STT_HS
STT_HS0035,01:13:22.009,STT_HS
STT_HS0036,01:03:35.140,STT_HS
STT_HS0037,00:34:06.719,STT_HS
STT_HS0038,00:36:33.141,STT_HS
STT_HS0039,00:54:12.734,STT_HS
STT_HS0040,01:21:57.899,STT_HS
STT_HS0041,01:11:12.116,STT_HS
STT_HS0042,01:01:42.917,STT_HS
STT_HS0043,00:43:28.204,STT_HS
STT_HS0044,00:59:05.861,STT_HS
STT_HS0045,01:29:07.739,STT_HS
STT_HS0046,00:57:04.668,STT_HS
STT_HS0047,01:15:53.534,STT_HS
STT_HS0048,00:58:15.006,STT_HS
STT_HS0049,01:03:06.950,STT_HS
STT_HS0050,00:52:12.661,STT_HS
STT_HS0051,00:33:24.211,STT_HS
STT_HS0052,00:56:22.950,STT_HS
STT_HS0053,01:07:22.233,STT_HS
STT_HS0054,01:11:29.664,STT_HS
STT_HS0055,01:10:33.102,STT_HS
STT_HS0056,01:04:09.375,STT_HS
STT_HS0057,00:43:37.953,STT_HS
STT_HS0058,00:54:26.053,STT_HS
STT_HS0059,00:55:46.881,STT_HS
STT_HS0060,00:48:51.046,STT_HS
STT_HS0061,00:51:51.455,STT_HS
STT_HS0062,01:07:58.481,STT_HS
STT_HS0063,00:47:38.844,STT_HS
STT_HS0064,01:18:55.471,STT_HS
STT_HS0065,00:57:00.154,STT_HS
STT_HS0066,01:01:00.715,STT_HS
STT_HS0067,01:08:57.248,STT_HS
STT_HS0068,00:45:21.451,STT_HS
STT_HS0069,01:33:48.302,STT_HS
STT_HS0070,00:51:09.153,STT_HS
STT_HS0071,01:07:22.968,STT_HS
STT_HS0072,00:42:38.747,STT_HS
STT_HS0073,00:53:16.649,STT_HS
STT_HS0074,00:58:17.047,STT_HS
STT_HS0075,01:15:11.907,STT_HS
STT_HS0076,01:15:09.905,STT_HS
STT_HS0077,00:54:16.029,STT_HS
STT_HS0078,01:08:27.902,STT_HS
STT_HS0079,01:08:57.904,STT_HS
STT_HS0080,00:42:16.263,STT_HS
STT_HS0081,00:37:26.746,STT_HS
STT_HS0082,00:48:39.548,STT_HS
STT_HS0083,00:54:15.861,STT_HS
STT_HS0084,00:59:11.038,STT_HS
STT_HS0085,01:03:07.323,STT_HS
STT_HS0086,01:01:07.314,STT_HS
STT_HS0087,01:04:27.949,STT_HS
STT_HS0088,00:53:02.204,STT_HS
STT_HS0089,00:57:05.887,STT_HS
STT_HS0090,00:39:38.595,STT_HS
STT_HS0106,00:20:33.482,STT_HS
STT_HS0107,00:40:38.729,STT_HS
STT_HS0108,00:42:06.686,STT_HS
STT_HS0109,00:42:44.723,STT_HS
STT_HS0110,00:29:49.407,STT_HS
STT_HS0111,00:10:21.491,STT_HS
STT_HS0112,00:15:18.591,STT_HS
STT_HS0113,00:51:56.744,STT_HS
STT_HS0114,00:42:03.773,STT_HS
STT_HS0115,00:23:50.198,STT_HS
STT_HS0116,00:25:50.997,STT_HS
STT_HS0117,00:19:20.592,STT_HS
STT_HS0118,00:45:37.477,STT_HS
STT_HS0119,00:03:27.640,STT_HS
STT_HS0120,00:14:10.262,STT_HS
STT_HS0121,00:45:01.828,STT_HS
STT_HS0122,00:08:49.041,STT_HS
