ID,split duration,dept
STT_MV0001,00:24:10.727,STT_MV
STT_MV0002,00:31:05.364,STT_MV
STT_MV0003,00:30:03.749,STT_MV
STT_MV0004,00:31:53.146,STT_MV
STT_MV0005,00:27:35.885,STT_MV
STT_MV0006,00:28:46.202,STT_MV
STT_MV0007,00:34:03.957,STT_MV
STT_MV0008,00:27:45.451,STT_MV
STT_MV0009,00:30:47.433,STT_MV
STT_MV0010,00:34:15.303,STT_MV
STT_MV0011,00:31:15.335,STT_MV
STT_MV0012,00:26:51.562,STT_MV
STT_MV0013,00:35:42.640,STT_MV
STT_MV0014,00:35:00.673,STT_MV
STT_MV0015,00:32:59.247,STT_MV
STT_MV0016,00:31:25.205,STT_MV
STT_MV0017,00:36:00.344,STT_MV
STT_MV0018,00:34:58.364,STT_MV
STT_MV0019,00:34:59.623,STT_MV
STT_MV0020,00:29:48.666,STT_MV
STT_MV0021,00:30:05.756,STT_MV
STT_MV0022,00:30:04.745,STT_MV
STT_MV0023,00:33:32.419,STT_MV
STT_MV0024,00:23:58.747,STT_MV
STT_MV0025,00:23:43.330,STT_MV
STT_MV0026,00:27:04.590,STT_MV
STT_MV0027,00:24:16.021,STT_MV
STT_MV0028,00:26:53.634,STT_MV
STT_MV0029,00:35:20.869,STT_MV
STT_MV0030,00:34:15.910,STT_MV
STT_MV0031,00:33:29.344,STT_MV
STT_MV0032,00:38:23.537,STT_MV
STT_MV0033,00:38:24.371,STT_MV
STT_MV0034,00:35:45.895,STT_MV
STT_MV0035,00:41:37.691,STT_MV
STT_MV0036,00:39:33.813,STT_MV
STT_MV0037,00:36:44.678,STT_MV
STT_MV0038,00:36:01.478,STT_MV
STT_MV0039,00:44:13.432,STT_MV
STT_MV0040,00:41:09.544,STT_MV
STT_MV0041,00:38:23.810,STT_MV
STT_MV0042,00:39:04.475,STT_MV
STT_MV0043,00:38:42.478,STT_MV
STT_MV0044,00:36:43.791,STT_MV
STT_MV0045,00:33:43.360,STT_MV
STT_MV0046,00:39:15.169,STT_MV
STT_MV0047,00:37:49.690,STT_MV
STT_MV0048,00:36:25.666,STT_MV
STT_MV0049,00:37:30.271,STT_MV
STT_MV0050,00:36:37.266,STT_MV
STT_MV0051,00:37:34.045,STT_MV
STT_MV0052,00:38:13.417,STT_MV
STT_MV0053,00:38:22.985,STT_MV
STT_MV0054,00:38:47.140,STT_MV
STT_MV0055,00:33:42.539,STT_MV
STT_MV0056,00:38:53.116,STT_MV
STT_MV0057,00:38:48.260,STT_MV
STT_MV0058,00:37:50.203,STT_MV
STT_MV0059,00:37:05.965,STT_MV
STT_MV0060,00:37:28.281,STT_MV
STT_MV0061,00:38:00.886,STT_MV
STT_MV0062,00:36:22.814,STT_MV
STT_MV0063,00:36:23.609,STT_MV
STT_MV0064,00:37:48.808,STT_MV
STT_MV0065,00:35:58.166,STT_MV
STT_MV0066,00:35:25.174,STT_MV
STT_MV0067,00:39:02.761,STT_MV
STT_MV0068,00:38:46.021,STT_MV
STT_MV0069,00:35:00.633,STT_MV
STT_MV0070,00:30:51.647,STT_MV
STT_MV0071,00:29:07.387,STT_MV
STT_MV0072,00:31:18.050,STT_MV
STT_MV0073,00:37:00.690,STT_MV
STT_MV0074,00:34:07.215,STT_MV
STT_MV0075,00:34:54.763,STT_MV
STT_MV0076,00:36:49.750,STT_MV
STT_MV0077,00:37:27.148,STT_MV
STT_MV0078,00:34:12.685,STT_MV
STT_MV0079,00:33:08.809,STT_MV
STT_MV0080,00:30:50.578,STT_MV
STT_MV0081,00:32:48.322,STT_MV
STT_MV0082,00:34:29.843,STT_MV
STT_MV0083,00:33:25.803,STT_MV
STT_MV0084,00:35:03.953,STT_MV
STT_MV0085,00:34:06.820,STT_MV
STT_MV0086,00:35:03.860,STT_MV
STT_MV0087,00:28:09.815,STT_MV
STT_MV0088,00:35:54.001,STT_MV
STT_MV0089,00:34:17.594,STT_MV
STT_MV0090,00:35:19.254,STT_MV
STT_MV0091,00:37:27.125,STT_MV
STT_MV0092,00:34:20.372,STT_MV
STT_MV0093,00:34:27.879,STT_MV
STT_MV0094,00:35:50.719,STT_MV
STT_MV0095,00:35:06.753,STT_MV
STT_MV0096,00:31:57.872,STT_MV
STT_MV0097,00:35:50.593,STT_MV
STT_MV0098,00:35:44.020,STT_MV
STT_MV0099,00:33:27.579,STT_MV
STT_MV0100,00:36:57.542,STT_MV
STT_MV0101,00:34:50.819,STT_MV
STT_MV0102,00:01:48.616,STT_MV
STT_MV0103,00:37:15.964,STT_MV
STT_MV0104,00:37:15.276,STT_MV
STT_MV0105,00:36:14.725,STT_MV
STT_MV0106,00:29:16.108,STT_MV
STT_MV0107,00:18:49.169,STT_MV
STT_MV0108,00:19:39.938,STT_MV
STT_MV0109,00:12:12.520,STT_MV
STT_MV0110,00:43:13.772,STT_MV
STT_MV0111,00:34:54.635,STT_MV
STT_MV0112,00:32:35.242,STT_MV
STT_MV0113,00:33:06.709,STT_MV
STT_MV0114,00:33:29.933,STT_MV
STT_MV0115,00:31:50.181,STT_MV
STT_MV0116,00:30:49.666,STT_MV
STT_MV0117,00:29:48.793,STT_MV
STT_MV0118,00:28:44.700,STT_MV
STT_MV0119,00:30:57.490,STT_MV
STT_MV0120,00:34:37.887,STT_MV
STT_MV0121,00:33:16.532,STT_MV
STT_MV0122,00:33:02.417,STT_MV
STT_MV0123,00:31:26.037,STT_MV
STT_MV0124,00:30:04.858,STT_MV
STT_MV0125,00:36:09.711,STT_MV
STT_MV0126,00:32:41.506,STT_MV
STT_MV0127,00:34:45.442,STT_MV
STT_MV0128,00:34:20.703,STT_MV
STT_MV0129,00:27:22.995,STT_MV
STT_MV0130,00:29:08.224,STT_MV
STT_MV0131,00:31:33.209,STT_MV
STT_MV0132,00:32:50.258,STT_MV
STT_MV0133,00:33:39.179,STT_MV
STT_MV0134,00:28:15.349,STT_MV
STT_MV0135,00:32:47.035,STT_MV
STT_MV0136,00:29:08.844,STT_MV
STT_MV0137,00:28:50.430,STT_MV
STT_MV0138,00:32:57.091,STT_MV
STT_MV0139,00:36:04.131,STT_MV
STT_MV0141,00:36:20.931,STT_MV
STT_MV0142,00:32:16.562,STT_MV
STT_MV0143,00:34:17.687,STT_MV
STT_MV0144,00:28:42.600,STT_MV
STT_MV0145,00:28:49.352,STT_MV
STT_MV0146,00:32:48.710,STT_MV
STT_MV0147,00:28:42.903,STT_MV
STT_MV0148,00:35:36.953,STT_MV
STT_MV0149,00:31:08.324,STT_MV
STT_MV0150,00:30:39.399,STT_MV
STT_MV0151,01:26:41.176,STT_MV
STT_MV0152,00:32:03.418,STT_MV
STT_MV0153,00:31:29.548,STT_MV
STT_MV0154,00:30:27.792,STT_MV
STT_MV0155,00:30:13.137,STT_MV
STT_MV0156,00:34:00.544,STT_MV
STT_MV0157,00:33:14.320,STT_MV
STT_MV0158,00:30:30.299,STT_MV
STT_MV0159,00:23:25.622,STT_MV
STT_MV0160,00:31:14.804,STT_MV
STT_MV0161,00:26:39.673,STT_MV
STT_MV0162,00:23:34.607,STT_MV
STT_MV0163,00:27:01.852,STT_MV
STT_MV0164,00:28:30.635,STT_MV
STT_MV0165,00:21:20.347,STT_MV
STT_MV0166,00:22:42.356,STT_MV
STT_MV0167,00:27:13.453,STT_MV
STT_MV0168,00:29:42.977,STT_MV
STT_MV0169,00:28:03.115,STT_MV
STT_MV0170,00:28:57.893,STT_MV
STT_MV0171,00:28:03.044,STT_MV
STT_MV0172,00:26:26.656,STT_MV
STT_MV0173,00:27:58.752,STT_MV
STT_MV0174,00:19:45.078,STT_MV
STT_MV0175,00:23:18.097,STT_MV
STT_MV0176,00:16:01.724,STT_MV
STT_MV0177,00:13:58.759,STT_MV
STT_MV0178,00:44:43.903,STT_MV
STT_MV0179,00:27:53.808,STT_MV
STT_MV0180,00:22:37.530,STT_MV
STT_MV0181,00:30:40.609,STT_MV
STT_MV0182,00:28:34.404,STT_MV
STT_MV0183,00:26:58.248,STT_MV
STT_MV0184,00:33:15.565,STT_MV
STT_MV0185,00:32:17.992,STT_MV
STT_MV0186,00:36:08.036,STT_MV
STT_MV0187,00:35:36.800,STT_MV
STT_MV0188,00:36:21.335,STT_MV
STT_MV0189,00:25:39.443,STT_MV
STT_MV0190,00:21:22.305,STT_MV
STT_MV0191,00:26:56.218,STT_MV
STT_MV0192,00:34:05.421,STT_MV
STT_MV0193,00:32:47.210,STT_MV
STT_MV0194,00:33:36.333,STT_MV
STT_MV0195,00:30:14.799,STT_MV
STT_MV0196,00:33:26.750,STT_MV
STT_MV0197,00:25:57.354,STT_MV
STT_MV0198,00:28:51.857,STT_MV
STT_MV0199,00:24:30.196,STT_MV
STT_MV0200,00:32:54.650,STT_MV
STT_MV0201,00:34:39.628,STT_MV
STT_MV0202,00:34:39.939,STT_MV
STT_MV0203,00:21:20.457,STT_MV
STT_MV0204,00:28:40.092,STT_MV
STT_MV0205,00:45:23.529,STT_MV
STT_MV0207,00:02:51.945,STT_MV
STT_MV0208,00:35:56.687,STT_MV
STT_MV0209,00:34:53.216,STT_MV
STT_MV0210,00:37:27.381,STT_MV
STT_MV0211,00:36:57.131,STT_MV
STT_MV0212,00:37:53.812,STT_MV
STT_MV0213,00:36:38.772,STT_MV
STT_MV0214,00:37:10.147,STT_MV
STT_MV0215,00:37:14.395,STT_MV
STT_MV0216,00:38:33.212,STT_MV
STT_MV0217,00:37:45.167,STT_MV
STT_MV0218,00:36:31.714,STT_MV
STT_MV0219,00:37:35.018,STT_MV
STT_MV0220,00:38:20.869,STT_MV
STT_MV0221,00:35:22.866,STT_MV
STT_MV0222,00:38:44.473,STT_MV
STT_MV0223,00:36:22.691,STT_MV
STT_MV0224,00:36:24.893,STT_MV
STT_MV0225,00:38:12.732,STT_MV
STT_MV0226,00:36:05.290,STT_MV
STT_MV0227,00:33:57.091,STT_MV
STT_MV0228,00:36:52.535,STT_MV
STT_MV0229,00:35:11.929,STT_MV
STT_MV0230,00:37:33.972,STT_MV
STT_MV0231,00:33:59.264,STT_MV
STT_MV0232,00:35:18.853,STT_MV
STT_MV0233,00:37:14.869,STT_MV
STT_MV0234,00:38:33.069,STT_MV
STT_MV0235,00:36:12.726,STT_MV
STT_MV0236,00:34:55.703,STT_MV
STT_MV0237,00:36:29.239,STT_MV
STT_MV0238,00:35:31.398,STT_MV
STT_MV0239,00:35:21.880,STT_MV
STT_MV0240,00:35:03.372,STT_MV
STT_MV0241,00:31:54.948,STT_MV
STT_MV0242,00:37:53.702,STT_MV
STT_MV0243,00:34:46.350,STT_MV
STT_MV0244,00:35:10.566,STT_MV
STT_MV0245,00:37:58.325,STT_MV
STT_MV0246,00:37:05.139,STT_MV
