ID,split duration,dept
STT_NS0001,00:29:54.849,STT_NS
STT_NS0002,00:47:26.443,STT_NS
STT_NS0003,00:28:44.153,STT_NS
STT_NS0004,00:23:38.531,STT_NS
STT_NS0005,00:29:56.955,STT_NS
STT_NS0006,00:16:46.460,STT_NS
STT_NS0007,00:29:58.373,STT_NS
STT_NS0008,00:01:18.772,STT_NS
STT_NS0009,00:18:44.704,STT_NS
STT_NS0010,00:27:40.617,STT_NS
STT_NS0011,00:17:38.218,STT_NS
STT_NS0012,00:08:54.938,STT_NS
STT_NS0013,00:29:03.538,STT_NS
STT_NS0014,00:14:10.692,STT_NS
STT_NS0015,00:27:58.824,STT_NS
STT_NS0016,00:26:55.483,STT_NS
STT_NS0017,00:28:25.000,STT_NS
STT_NS0018,00:27:27.417,STT_NS
STT_NS0019,00:28:16.789,STT_NS
STT_NS0020,00:21:04.292,STT_NS
STT_NS0021,00:23:54.125,STT_NS
STT_NS0022,00:26:15.331,STT_NS
STT_NS0023,00:25:15.440,STT_NS
STT_NS0024,00:28:39.478,STT_NS
STT_NS0025,00:28:39.478,STT_NS
STT_NS0026,00:29:33.266,STT_NS
STT_NS0027,00:26:35.605,STT_NS
STT_NS0028,00:08:20.782,STT_NS
STT_NS0029,00:09:04.492,STT_NS
STT_NS0030,00:05:09.823,STT_NS
STT_NS0031,00:21:44.643,STT_NS
STT_NS0032,00:26:04.183,STT_NS
STT_NS0033,00:29:17.431,STT_NS
STT_NS0034,00:27:34.881,STT_NS
STT_NS0035,00:28:44.157,STT_NS
STT_NS0036,00:04:07.860,STT_NS
STT_NS0037,00:28:18.959,STT_NS
STT_NS0038,00:21:31.269,STT_NS
STT_NS0039,00:25:27.467,STT_NS
STT_NS0040,00:14:19.076,STT_NS
STT_NS0041,00:17:29.192,STT_NS
STT_NS0042,00:19:07.271,STT_NS
STT_NS0043,00:16:48.926,STT_NS
STT_NS0044,00:07:14.453,STT_NS
STT_NS0045,00:17:30.238,STT_NS
STT_NS0046,00:01:54.887,STT_NS
STT_NS0047,00:17:15.827,STT_NS
STT_NS0048,00:13:55.446,STT_NS
STT_NS0049,00:15:52.056,STT_NS
STT_NS0050,00:14:34.218,STT_NS
STT_NS0051,00:27:29.325,STT_NS
STT_NS0052,00:22:55.215,STT_NS
STT_NS0053,00:28:50.947,STT_NS
STT_NS0054,00:08:12.095,STT_NS
STT_NS0055,00:22:02.139,STT_NS
STT_NS0056,00:08:08.112,STT_NS
STT_NS0057,00:09:23.678,STT_NS
STT_NS0058,00:07:45.633,STT_NS
STT_NS0059,00:01:59.950,STT_NS
STT_NS0060,00:07:21.522,STT_NS
STT_NS0061,00:28:15.397,STT_NS
STT_NS0062,00:24:24.263,STT_NS
STT_NS0063,00:24:08.663,STT_NS
STT_NS0064,00:25:05.215,STT_NS
STT_NS0065,00:19:42.496,STT_NS
STT_NS0066,00:23:06.689,STT_NS
STT_NS0067,00:07:05.773,STT_NS
STT_NS0068,00:23:17.322,STT_NS
STT_NS0069,00:27:47.875,STT_NS
STT_NS0070,00:25:01.479,STT_NS
STT_NS0071,00:25:54.624,STT_NS
STT_NS0072,00:25:34.357,STT_NS
STT_NS0073,00:22:13.915,STT_NS
STT_NS0074,00:23:26.716,STT_NS
STT_NS0075,00:27:38.559,STT_NS
STT_NS0076,00:03:17.659,STT_NS
STT_NS0077,00:26:08.568,STT_NS
STT_NS0078,00:05:46.127,STT_NS
STT_NS0079,00:25:57.557,STT_NS
STT_NS0080,00:23:45.857,STT_NS
STT_NS0081,00:29:51.629,STT_NS
STT_NS0082,00:34:33.813,STT_NS
STT_NS0083,00:34:43.302,STT_NS
STT_NS0084,00:35:26.644,STT_NS
STT_NS0085,00:29:50.102,STT_NS
STT_NS0086,00:23:12.389,STT_NS
STT_NS0087,00:28:03.849,STT_NS
STT_NS0089,00:26:13.397,STT_NS
STT_NS0090,00:24:58.326,STT_NS
STT_NS0091,00:26:24.062,STT_NS
STT_NS0092,00:27:07.503,STT_NS
STT_NS0093,00:21:46.342,STT_NS
STT_NS0094,00:25:32.076,STT_NS
STT_NS0095,00:24:55.517,STT_NS
STT_NS0096,00:24:42.822,STT_NS
STT_NS0097,00:26:49.169,STT_NS
STT_NS0098,00:22:47.135,STT_NS
STT_NS0099,00:23:43.989,STT_NS
STT_NS0100,00:28:24.733,STT_NS
STT_NS0101,00:25:25.472,STT_NS
STT_NS0102,00:23:31.966,STT_NS
STT_NS0103,00:26:26.603,STT_NS
STT_NS0104,00:25:57.886,STT_NS
STT_NS0105,00:28:46.328,STT_NS
STT_NS0106,00:24:34.784,STT_NS
STT_NS0107,00:27:04.488,STT_NS
STT_NS0108,00:28:44.033,STT_NS
STT_NS0109,00:27:46.589,STT_NS
STT_NS0110,00:26:25.816,STT_NS
STT_NS0111,00:27:16.334,STT_NS
STT_NS0112,00:27:31.117,STT_NS
STT_NS0113,00:25:52.422,STT_NS
STT_NS0114,00:24:03.070,STT_NS
STT_NS0115,00:25:47.686,STT_NS
STT_NS0116,00:29:42.652,STT_NS
STT_NS0117,00:27:12.508,STT_NS
STT_NS0118,00:25:37.400,STT_NS
STT_NS0119,00:28:42.247,STT_NS
STT_NS0120,00:26:31.194,STT_NS
STT_NS0121,00:23:00.092,STT_NS
STT_NS0122,00:27:22.330,STT_NS
STT_NS0123,00:38:12.553,STT_NS
STT_NS0124,00:37:10.794,STT_NS
STT_NS0125,00:31:24.304,STT_NS
STT_NS0126,00:27:05.901,STT_NS
STT_NS0127,00:33:03.507,STT_NS
STT_NS0128,00:27:26.843,STT_NS
STT_NS0129,00:36:35.317,STT_NS
STT_NS0130,00:36:33.767,STT_NS
STT_NS0131,00:27:17.741,STT_NS
STT_NS0132,00:29:15.183,STT_NS
STT_NS0133,00:29:08.578,STT_NS
STT_NS0134,00:27:59.047,STT_NS
STT_NS0135,00:26:15.840,STT_NS
STT_NS0136,00:24:14.995,STT_NS
STT_NS0137,00:28:06.722,STT_NS
STT_NS0138,00:25:19.497,STT_NS
STT_NS0139,00:27:49.624,STT_NS
STT_NS0140,00:26:08.739,STT_NS
STT_NS0151,00:04:51.226,STT_NS
STT_NS0152,00:07:54.478,STT_NS
STT_NS0153,00:06:46.569,STT_NS
STT_NS0154,00:08:01.168,STT_NS
STT_NS0155,00:07:09.586,STT_NS
STT_NS0156,00:03:56.744,STT_NS
STT_NS0157,00:04:07.467,STT_NS
STT_NS0158,00:05:23.131,STT_NS
STT_NS0159,00:04:38.443,STT_NS
STT_NS0160,00:05:56.430,STT_NS
STT_NS0161,00:20:23.153,STT_NS
STT_NS0162,00:21:40.112,STT_NS
STT_NS0163,00:23:56.690,STT_NS
STT_NS0164,00:25:10.482,STT_NS
STT_NS0165,00:22:30.020,STT_NS
STT_NS0166,00:26:25.493,STT_NS
STT_NS0167,00:26:18.170,STT_NS
STT_NS0168,00:23:37.045,STT_NS
STT_NS0169,00:26:33.011,STT_NS
STT_NS0170,00:22:10.714,STT_NS
STT_NS0171,00:27:28.426,STT_NS
STT_NS0172,00:26:54.661,STT_NS
STT_NS0173,00:26:58.168,STT_NS
STT_NS0174,00:23:55.270,STT_NS
STT_NS0175,00:26:53.448,STT_NS
STT_NS0176,00:27:19.056,STT_NS
STT_NS0177,00:29:10.564,STT_NS
STT_NS0178,00:25:49.893,STT_NS
STT_NS0179,00:25:31.372,STT_NS
STT_NS0180,00:22:18.764,STT_NS
STT_NS0181,00:05:17.866,STT_NS
STT_NS0182,00:04:14.270,STT_NS
STT_NS0183,00:16:06.813,STT_NS
STT_NS0184,00:15:56.771,STT_NS
STT_NS0185,00:15:03.402,STT_NS
STT_NS0186,00:16:28.492,STT_NS
STT_NS0187,00:12:59.852,STT_NS
STT_NS0188,00:12:52.075,STT_NS
STT_NS0189,00:11:04.277,STT_NS
STT_NS0190,00:08:38.172,STT_NS
STT_NS0191,00:11:23.782,STT_NS
STT_NS0192,00:08:58.949,STT_NS
STT_NS0193,00:12:06.570,STT_NS
STT_NS0194,00:14:38.192,STT_NS
STT_NS0195,00:12:06.297,STT_NS
STT_NS0196,00:12:44.179,STT_NS
STT_NS0197,00:12:51.748,STT_NS
STT_NS0198,00:11:26.229,STT_NS
STT_NS0199,00:12:40.712,STT_NS
STT_NS0200,00:25:25.780,STT_NS
STT_NS0201,00:23:20.019,STT_NS
STT_NS0202,00:19:47.072,STT_NS
STT_NS0203,00:28:39.007,STT_NS
STT_NS0204,00:12:42.582,STT_NS
STT_NS0205,00:28:15.904,STT_NS
STT_NS0206,00:04:13.238,STT_NS
STT_NS0207,00:03:55.869,STT_NS
STT_NS0208,00:05:34.298,STT_NS
STT_NS0209,00:05:07.992,STT_NS
STT_NS0210,00:07:27.103,STT_NS
STT_NS0211,00:07:56.189,STT_NS
STT_NS0212,00:08:10.689,STT_NS
STT_NS0213,00:10:19.820,STT_NS
STT_NS0214,00:07:36.969,STT_NS
STT_NS0215,00:09:18.157,STT_NS
STT_NS0216,00:06:41.806,STT_NS
STT_NS0217,00:07:58.828,STT_NS
STT_NS0218,00:09:14.811,STT_NS
STT_NS0219,00:04:19.202,STT_NS
STT_NS0220,00:07:53.048,STT_NS
STT_NS0221,00:12:02.978,STT_NS
STT_NS0222,00:06:39.455,STT_NS
STT_NS_M0001,00:21:24.411,STT_NS
STT_NS_M0002,00:21:54.848,STT_NS
STT_NS_M0003,00:22:01.739,STT_NS
STT_NS_M0004,00:20:49.793,STT_NS
STT_NS_M0005,00:22:58.503,STT_NS
STT_NS_M0006,00:25:10.178,STT_NS
STT_NS_M0007,00:26:55.894,STT_NS
STT_NS_M0008,00:25:31.199,STT_NS
STT_NS_M0009,00:25:49.971,STT_NS
STT_NS_M0010,00:20:27.322,STT_NS
STT_NS_M0011,00:23:53.972,STT_NS
STT_NS_M0012,00:51:55.090,STT_NS
STT_NS_M0013,00:25:40.822,STT_NS
STT_NS_M0014,00:56:27.368,STT_NS
STT_NS_M0015,00:24:56.805,STT_NS
STT_NS_M0016,00:26:50.401,STT_NS
STT_NS_M0017,00:36:50.544,STT_NS
STT_NS_M0018,00:24:36.526,STT_NS
STT_NS_M0019,00:25:07.896,STT_NS
STT_NS_M0020,00:24:32.003,STT_NS
STT_NS_M0021,00:54:24.434,STT_NS
STT_NS_M0022,00:24:17.901,STT_NS
STT_NS_M0023,00:24:16.870,STT_NS
STT_NS_M0024,00:37:37.150,STT_NS
STT_NS_M0025,00:56:02.271,STT_NS
STT_NS_M0026,00:44:28.200,STT_NS
STT_NS_M0027,00:46:43.362,STT_NS
STT_NS_M0028,00:55:09.808,STT_NS
STT_NS_M0029,00:52:00.513,STT_NS
STT_NS_M0030,00:57:21.507,STT_NS
STT_NS_M0031,00:21:16.480,STT_NS
STT_NS_M0032,00:57:02.682,STT_NS
STT_NS_M0033,00:55:18.474,STT_NS
STT_NS_M0034,00:56:21.053,STT_NS
STT_NS_M0035,00:54:00.578,STT_NS
STT_NS_M0046,00:41:43.332,STT_NS
STT_NS_M0047,00:26:23.741,STT_NS
STT_NS_M0048,00:27:08.605,STT_NS
STT_NS_M0049,00:22:17.557,STT_NS
STT_NS_M0050,00:29:47.889,STT_NS
STT_NS_M0051,00:28:49.346,STT_NS
STT_NS_M0052,00:28:56.246,STT_NS
STT_NS_M0053,00:59:20.136,STT_NS
STT_NS_M0054,00:42:12.915,STT_NS
STT_NS_M0055,00:39:27.494,STT_NS
STT_NS_M0056,00:39:50.764,STT_NS
STT_NS_M0057,00:29:08.687,STT_NS
STT_NS_M0058,00:40:00.082,STT_NS
STT_NS_M0059,00:28:56.693,STT_NS
STT_NS_M0060,00:57:24.050,STT_NS
STT_NS_M0061,00:30:36.035,STT_NS
STT_NS_M0062,00:41:20.983,STT_NS
STT_NS_M0063,00:29:43.877,STT_NS
STT_NS_M0064,00:58:06.749,STT_NS
STT_NS_M0065,00:56:17.875,STT_NS
STT_NS_M0066,00:52:49.465,STT_NS
STT_NS_M0067,00:53:03.864,STT_NS
STT_NS_M0068,00:51:34.177,STT_NS
STT_NS_M0070,00:39:02.280,STT_NS
STT_NS_M0071,00:12:48.154,STT_NS
STT_NS_M0072,00:56:29.322,STT_NS
STT_NS_M0073,00:27:37.123,STT_NS
STT_NS_M0074,00:25:02.052,STT_NS
STT_NS_M0181,00:16:57.147,STT_NS
STT_NS_M0182,00:10:23.096,STT_NS
STT_NS_M0183,00:10:45.669,STT_NS
STT_NS_M0184,00:08:22.872,STT_NS
STT_NS_M0185,00:25:23.022,STT_NS
STT_NS_M0186,00:13:19.955,STT_NS
STT_NS_M0187,00:08:45.565,STT_NS
STT_NS_M0188,00:10:14.903,STT_NS
STT_NS_M0189,00:13:30.121,STT_NS
STT_NS_M0190,00:11:52.379,STT_NS
STT_NS_M0191,00:07:22.550,STT_NS
