ID,split duration,dept
STT_PC0001,00:22:52.003,STT_PC
STT_PC0002,01:33:39.116,STT_PC
STT_PC0003,00:45:11.350,STT_PC
STT_PC0004,00:34:00.754,STT_PC
STT_PC0005,00:26:15.996,STT_PC
STT_PC0006,00:07:10.656,STT_PC
STT_PC0007,00:05:48.793,STT_PC
STT_PC0008,00:05:03.949,STT_PC
STT_PC0009,00:04:42.941,STT_PC
STT_PC0010,00:07:58.850,STT_PC
STT_PC0011,00:06:08.825,STT_PC
STT_PC0012,00:06:18.709,STT_PC
STT_PC0013,00:11:11.945,STT_PC
STT_PC0014,00:09:57.937,STT_PC
STT_PC0015,00:12:26.884,STT_PC
STT_PC0016,00:06:41.599,STT_PC
STT_PC0017,00:09:08.971,STT_PC
STT_PC0018,00:11:23.555,STT_PC
STT_PC0019,00:11:24.853,STT_PC
STT_PC0020,00:15:44.316,STT_PC
STT_PC0021,00:15:13.304,STT_PC
STT_PC0022,00:14:38.213,STT_PC
STT_PC0023,00:13:36.154,STT_PC
STT_PC0024,00:15:19.950,STT_PC
STT_PC0025,00:16:58.585,STT_PC
STT_PC0026,00:07:26.176,STT_PC
STT_PC0027,00:18:12.494,STT_PC
STT_PC0028,00:12:34.368,STT_PC
STT_PC0029,00:17:42.080,STT_PC
STT_PC0030,00:12:29.704,STT_PC
STT_PC0031,00:08:05.789,STT_PC
STT_PC0032,00:19:20.239,STT_PC
STT_PC0033,00:09:37.419,STT_PC
STT_PC0034,00:07:49.983,STT_PC
STT_PC0035,00:08:42.947,STT_PC
STT_PC0036,00:11:05.734,STT_PC
STT_PC0037,00:10:12.567,STT_PC
STT_PC0038,00:07:48.719,STT_PC
STT_PC0039,00:02:12.283,STT_PC
STT_PC0040,00:07:00.502,STT_PC
STT_PC0041,00:07:30.640,STT_PC
STT_PC0042,00:13:03.028,STT_PC
STT_PC0043,00:16:16.941,STT_PC
STT_PC0044,00:08:31.447,STT_PC
STT_PC0045,00:44:50.579,STT_PC
STT_PC0046,00:14:21.656,STT_PC
STT_PC0047,00:11:56.596,STT_PC
STT_PC0048,00:11:04.229,STT_PC
STT_PC0049,00:13:28.438,STT_PC
STT_PC0050,00:10:23.464,STT_PC
STT_PC0051,00:15:29.774,STT_PC
STT_PC0052,00:08:55.168,STT_PC
STT_PC0053,00:10:35.297,STT_PC
STT_PC0054,00:07:18.068,STT_PC
STT_PC0055,00:21:33.066,STT_PC
STT_PC0056,00:15:45.850,STT_PC
STT_PC0057,00:15:21.377,STT_PC
STT_PC0058,00:22:49.719,STT_PC
STT_PC0059,00:16:14.000,STT_PC
STT_PC0060,00:12:12.877,STT_PC
STT_PC0061,00:06:25.389,STT_PC
STT_PC0062,00:06:25.389,STT_PC
STT_PC0063,00:05:41.275,STT_PC
STT_PC0064,00:09:49.909,STT_PC
STT_PC0065,00:06:35.866,STT_PC
STT_PC0066,00:05:24.418,STT_PC
STT_PC0067,00:04:11.346,STT_PC
STT_PC0068,00:04:08.156,STT_PC
STT_PC0069,00:07:30.499,STT_PC
STT_PC0070,00:02:33.211,STT_PC
STT_PC0071,00:05:23.299,STT_PC
STT_PC0072,00:02:17.478,STT_PC
STT_PC0073,00:02:25.509,STT_PC
STT_PC0074,00:03:26.510,STT_PC
STT_PC0075,00:06:11.142,STT_PC
STT_PC0076,00:10:02.726,STT_PC
STT_PC0077,00:08:22.688,STT_PC
STT_PC0078,00:09:12.368,STT_PC
STT_PC0079,00:09:59.593,STT_PC
STT_PC0080,00:10:54.356,STT_PC
STT_PC0082,00:04:00.638,STT_PC
STT_PC0083,00:04:23.827,STT_PC
STT_PC0084,00:03:14.212,STT_PC
STT_PC0085,00:05:19.017,STT_PC
STT_PC0086,00:05:22.307,STT_PC
STT_PC0087,00:05:18.672,STT_PC
STT_PC0088,00:03:52.047,STT_PC
STT_PC0089,00:04:22.956,STT_PC
STT_PC0090,00:07:27.048,STT_PC
STT_PC0091,00:09:24.155,STT_PC
STT_PC0092,00:05:01.320,STT_PC
STT_PC0093,00:06:50.815,STT_PC
STT_PC0094,00:04:30.882,STT_PC
STT_PC0095,00:07:17.178,STT_PC
STT_PC0096,00:06:15.976,STT_PC
STT_PC0097,00:04:50.576,STT_PC
STT_PC0098,00:05:13.756,STT_PC
STT_PC0099,00:04:25.785,STT_PC
STT_PC0100,00:09:45.469,STT_PC
STT_PC0101,00:06:22.537,STT_PC
STT_PC0102,00:08:59.600,STT_PC
